playerId,name,team,position,Overall_Talent_Rating,Offensive_Rate,xGD_OnIce_Per_100,I_F_takeaways_per60,games_played,icetime
8483432,Luca Del Bel Belluz,CBJ,C,74.41,0.70,4.60,0.87,75,24756.00
8470613,Brent Burns,CAR,D,74.28,0.27,2.80,1.26,410,206204.00
8482105,Jake Sanderson,OTT,D,74.17,0.44,0.60,1.63,400,234644.00
8481581,Thomas Harley,DAL,D,74.07,0.50,4.00,0.95,390,218858.00
8475810,Bryan Rust,PIT,R,74.05,1.19,-3.40,0.71,355,168276.00
8479345,Jakob Chychrun,WSH,D,73.97,0.68,9.00,1.35,370,187050.00
8477346,MacKenzie Weegar,CGY,D,73.95,0.33,0.20,1.58,405,234878.00
8484387,Matvei Michkov,PHI,R,73.94,1.07,-2.20,0.61,400,160170.00
8484166,Adam Fantilli,CBJ,C,73.83,1.01,3.80,0.96,410,171982.00
8479675,Trevor Moore,LAK,L,73.78,0.72,4.00,1.15,355,143792.00
8477501,Valeri Nichushkin,COL,R,73.76,1.06,-0.80,0.49,215,101858.00
8476461,Sean Couturier,PHI,C,73.74,0.73,1.00,1.23,395,163944.00
8475692,Mats Zuccarello,MIN,R,73.57,0.87,1.40,1.28,345,162754.00
8482155,Alex Laferriere,LAK,R,73.39,0.84,-0.60,0.66,385,152754.00
8481528,Dylan Cozens,OTT,C,73.37,0.75,-1.00,0.64,410,167878.00
8482671,Owen Power,BUF,D,73.20,0.37,-1.80,0.93,395,202036.00
8481716,Dmitri Voronkov,CBJ,L,73.10,0.95,9.60,0.54,365,147054.00
8480014,Gabriel Vilardi,WPG,C,73.08,1.09,-3.00,1.03,355,154520.00
8482146,Luke Evangelista,NSH,R,73.03,0.64,2.40,1.02,340,113192.00
8477496,Elias Lindholm,BOS,C,73.03,0.67,-1.20,0.87,410,177886.00
8482720,Matthew Knies,TOR,L,72.99,0.99,-0.60,0.58,390,173300.00
8476462,Dougie Hamilton,NJD,D,72.85,0.52,9.00,0.94,320,152492.00
8476479,Phillip Danault,LAK,C,72.85,0.67,1.60,1.06,400,169664.00
8475786,Zach Hyman,EDM,L,72.81,0.90,5.20,0.61,365,165402.00
8474578,Erik Karlsson,PIT,D,72.77,0.42,-3.60,1.37,410,228640.00
8482079,Marco Rossi,MIN,C,72.71,0.91,1.60,0.72,410,179538.00
8480012,Elias Pettersson,VAN,C,72.40,0.83,0.20,1.11,320,143312.00
8482175,JJ Peterka,BUF,R,72.33,0.99,-1.80,0.94,385,168020.00
8482259,Bobby McMann,TOR,C,72.26,0.83,1.20,0.89,370,128730.00
8482702,Logan Stankoven,CAR,C,72.14,0.65,2.00,1.02,390,141254.00
8474716,Jared Spurgeon,MIN,D,72.08,0.38,3.80,0.98,330,161972.00
8475218,Mattias Ekholm,EDM,D,72.01,0.37,1.80,1.43,325,173130.00
8476474,Stefan Noesen,NJD,R,71.55,0.91,4.60,0.68,390,149134.00
8479987,Morgan Geekie,BOS,C,71.43,1.17,-4.40,1.43,385,156344.00
8477964,Ivan Barbashev,VGK,C,71.42,1.10,0.60,0.92,350,141106.00
8478178,Darren Raddysh,TBL,D,71.42,0.40,2.80,0.48,365,151546.00
8473994,Jamie Benn,DAL,L,71.11,0.89,0.00,0.64,400,146892.00
8477495,Seth Jones,FLA,D,70.95,0.47,-1.40,1.00,315,186290.00
8475764,Cam Fowler,STL,D,70.95,0.50,-1.40,0.66,340,175792.00
8474141,Patrick Kane,DET,R,70.94,0.90,-3.00,0.60,360,155342.00
8478396,Noah Hanifin,VGK,D,70.86,0.44,3.40,1.11,400,206904.00
8476539,Jonathan Marchessault,NSH,R,70.86,0.86,-0.40,0.43,390,168264.00
8480145,Neal Pionk,WPG,D,70.85,0.50,-0.60,1.18,345,182658.00
8480829,Jesperi Kotkaniemi,CAR,C,70.79,0.61,3.80,0.98,390,131594.00
8477987,Ryan Donato,CHI,C,70.76,1.32,-6.20,1.06,400,156568.00
8481605,Jackson LaCombe,ANA,D,70.56,0.56,-0.40,1.26,375,200706.00
8476448,William Karlsson,VGK,C,70.53,0.73,5.80,0.93,265,108210.00
8477416,Oliver Bjorkstrand,TBL,R,70.43,1.03,-3.80,1.30,395,143606.00
8478109,Victor Olofsson,VGK,L,70.33,0.96,6.20,0.59,280,97422.00
8476882,Teuvo Teravainen,CHI,C,70.18,0.81,-1.60,0.99,410,167926.00
8482679,Matt Coronato,CGY,R,70.16,0.87,-0.80,1.02,385,162436.00
8481606,Jordan Spence,LAK,D,70.12,0.31,3.60,0.68,395,159156.00
8478445,Mathew Barzal,NYI,C,70.09,0.79,4.80,0.98,150,73258.00
8480015,Owen Tippett,PHI,R,70.07,0.89,0.00,1.53,385,147764.00
8474565,Alex Pietrangelo,VGK,D,70.06,0.30,0.80,0.94,355,190866.00
8479425,Filip Hronek,VAN,D,70.03,0.32,-1.80,0.58,305,174906.00
8474564,Steven Stamkos,NSH,C,69.99,0.94,1.60,0.73,410,177118.00
8480762,Eric Robinson,CAR,L,69.97,0.84,2.80,0.54,410,120650.00
8476853,Morgan Rielly,TOR,D,69.92,0.37,-1.20,0.68,410,210464.00
8475170,Brayden Schenn,STL,C,69.84,0.78,-0.20,0.54,410,172800.00
8471215,Evgeni Malkin,PIT,C,69.84,0.89,-5.40,1.46,340,145130.00
8475200,Dmitry Orlov,CAR,D,69.69,0.28,4.80,0.83,380,182368.00
8479525,Ross Colton,COL,C,69.68,0.87,2.00,1.02,305,105560.00
8482713,Mackie Samoskevich,FLA,R,69.57,0.81,6.20,0.56,360,115104.00
8483515,Juraj Slafkovsk,MTL,L,69.54,0.74,-4.80,0.70,395,164468.00
8481542,Moritz Seider,DET,D,69.54,0.30,-0.80,0.88,410,246710.00
8477498,Darnell Nurse,EDM,D,69.53,0.32,2.00,0.56,380,204022.00
